X,Y,Z,azimuth,dip,polarity,formation
30007,15048,-2133.755,0,0,1,sea_floor
30007,15048,-2321.01,0,0,1,h1
30007,15048,-2682.36,0,0,1,h2
30007,15048,-2840.93,0,0,1,h3
30007,15048,-2950.03,0,0,1,h4
25002,17505,-2118.38,0,0,1,sea_floor
25002,17505,-2169.95,0,0,1,h1
25002,17505,-2521.98,0,0,1,h2
25002,17505,-2755.25,0,0,1,h3
25002,17505,-2902.43,0,0,1,h4
15007,22416,-1668.79,0,0,1,sea_floor
15007,22416,-1842.37,0,0,1,h1
15007,22416,-2184.54,0,0,1,h2
15007,22416,-2368.17,0,0,1,h3
15007,22416,-2574.96,0,0,1,h4